statefips,date,employment,spend_all,covid_severity,is_red_state,StayAtHome_Active,BizClosure_Active,SchoolClosure_Active,Red_State_Policy_Interaction
24,2020-03-15,-0.0111,-0.005957142857142857,0.2394,0.0,0,0,0,0.0
25,2020-03-15,-0.0269,0.014870142857142856,1.4565714285714286,0.0,0,0,0,0.0
26,2020-03-15,-0.0196,0.007394428571428572,0.429,0.0,0,0,0,0.0
27,2020-03-15,-0.0208,-0.02034285714285714,0.21982857142857143,0.0,0,0,0,0.0
28,2020-03-15,-0.0186,0.031142857142857142,0.37725,1.0,0,0,0,0.0
29,2020-03-15,-0.0111,0.029964285714285714,0.03002857142857143,1.0,0,0,0,0.0
30,2020-03-15,-0.0518,-0.08194285714285714,0.9825,1.0,0,0,0,0.0
31,2020-03-15,-0.0226,-0.042128571428571425,0.5242857142857142,1.0,0,0,0,0.0
32,2020-03-15,-0.0275,-0.023511428571428572,0.3669857142857143,0.0,0,0,0,0.0
33,2020-03-15,-0.0202,0.052257142857142856,0.31542857142857145,0.0,0,0,0,0.0
34,2020-03-15,-0.0207,0.015214285714285713,0.46442857142857147,0.0,0,0,0,0.0
35,2020-03-15,0.00169,0.015847142857142858,0.937,0.0,0,0,0,0.0
36,2020-03-15,-0.03,-0.004894285714285714,1.7234285714285715,0.0,0,0,0,0.0
37,2020-03-15,-0.00622,0.013712857142857143,0.14165714285714284,1.0,0,0,0,0.0
38,2020-03-15,-0.0193,0.011677142857142856,0.0,1.0,0,0,0,0.0
39,2020-03-15,-0.0163,-0.015701714285714284,0.13896666666666668,1.0,0,0,0,0.0
40,2020-03-15,-0.0222,0.02081857142857143,0.05891428571428571,1.0,0,0,0,0.0
41,2020-03-15,-0.0335,-0.06508571428571429,0.5182857142857143,0.0,0,0,0,0.0
42,2020-03-15,-0.0154,0.0029285714285714293,0.24899999999999997,0.0,0,0,0,0.0
44,2020-03-15,-0.0366,-0.02339814285714286,0.8204857142857144,0.0,0,0,0,0.0
45,2020-03-15,-0.0153,-0.0007042857142857144,0.26871428571428574,1.0,0,0,0,0.0
46,2020-03-15,0.0129,-0.061099999999999995,1.2088,1.0,0,0,0,0.0
47,2020-03-15,-0.00434,0.02374,0.2737,1.0,0,0,0,0.0
48,2020-03-15,-0.0173,0.012218571428571428,0.11091428571428572,1.0,0,0,0,0.0
49,2020-03-15,-0.034,0.027354285714285713,0.28071428571428575,1.0,0,0,0,0.0
50,2020-03-15,-0.0275,-0.07021428571428572,0.35028571428571426,0.0,0,0,0,0.0
51,2020-03-15,-0.0075,-0.0052699999999999995,0.3117142857142857,0.0,0,0,0,0.0
53,2020-03-15,-0.0239,-0.08008571428571429,4.681428571428571,0.0,0,0,0,0.0
55,2020-03-15,-0.0171,-0.01522285714285714,0.22334285714285715,0.0,0,0,0,0.0
56,2020-03-15,-0.0828,-0.012775714285714284,0.504,1.0,0,0,0,0.0
1,2020-03-22,-0.0334,-0.010457142857142856,1.78,1.0,0,0,0,0.0
2,2020-03-22,-0.0561,-0.00544285714285714,1.6564285714285714,1.0,0,0,0,0.0
4,2020-03-22,-0.0406,-0.057596714285714286,0.7368571428571428,0.0,0,0,0,0.0
5,2020-03-22,-0.035,-0.07965714285714286,2.3337142857142856,1.0,0,0,0,0.0
6,2020-03-22,-0.0646,-0.11791428571428572,2.1585714285714284,0.0,1,1,0,0.0
8,2020-03-22,-0.0417,-0.07103,4.562857142857143,0.0,0,0,0,0.0
9,2020-03-22,-0.0738,-0.1060857142857143,4.1571428571428575,0.0,0,0,0,0.0
10,2020-03-22,-0.0411,-0.08897142857142858,2.9828571428571427,0.0,0,0,0,0.0
12,2020-03-22,-0.0522,-0.047157142857142856,2.0502857142857143,1.0,0,0,0,0.0
13,2020-03-22,-0.065,-0.06416285714285715,2.8058571428571426,0.0,0,0,0,0.0
15,2020-03-22,-0.145,-0.03585614285714286,1.8774285714285714,0.0,0,0,0,0.0
16,2020-03-22,-0.0487,-0.03172857142857143,1.3754285714285714,1.0,0,0,0,0.0
17,2020-03-22,-0.0559,-0.09487142857142858,3.4462857142857146,0.0,1,1,0,0.0
18,2020-03-22,-0.0549,-0.13331428571428572,1.0247142857142857,1.0,0,0,0,0.0
19,2020-03-22,-0.0508,-0.11141428571428572,1.0322857142857143,1.0,0,1,0,0.0
20,2020-03-22,-0.0449,-0.07702857142857143,1.109,1.0,0,0,0,0.0
21,2020-03-22,-0.0437,-0.05691428571428571,0.9598571428571429,1.0,0,0,0,0.0
22,2020-03-22,-0.0822,-0.044738571428571426,8.89857142857143,1.0,0,1,0,0.0
23,2020-03-22,-0.0714,0.0020999999999999986,3.935714285714286,0.0,0,0,0,0.0
24,2020-03-22,-0.0524,-0.08072857142857144,1.7971428571428572,0.0,0,0,0,0.0
25,2020-03-22,-0.0926,-0.09730142857142857,3.775714285714286,0.0,0,0,0,0.0
26,2020-03-22,-0.0732,-0.05378,3.9770000000000003,0.0,0,0,0,0.0
27,2020-03-22,-0.0622,-0.0926,1.5574285714285716,0.0,0,0,0,0.0
28,2020-03-22,-0.0399,-0.04568571428571428,2.5244285714285715,1.0,0,0,0,0.0
29,2020-03-22,-0.0414,-0.08664857142857142,0.8325714285714286,1.0,0,0,0,0.0
30,2020-03-22,-0.0965,-0.1256142857142857,1.484,1.0,0,0,0,0.0
31,2020-03-22,-0.0432,-0.11425714285714286,1.2387142857142857,1.0,0,0,0,0.0
32,2020-03-22,-0.0944,-0.06662428571428572,3.2885714285714287,0.0,0,1,0,0.0
33,2020-03-22,-0.0793,0.005328571428571428,2.9094285714285713,0.0,0,0,0,0.0
34,2020-03-22,-0.0778,-0.06477857142857144,8.76142857142857,0.0,1,1,0,0.0
35,2020-03-22,-0.0429,-0.06778714285714285,1.5257142857142856,0.0,0,0,0,0.0
36,2020-03-22,-0.1,-0.06498571428571429,28.59,0.0,1,1,0,0.0
37,2020-03-22,-0.0451,-0.05232714285714286,0.9947142857142858,1.0,0,0,0,0.0
38,2020-03-22,-0.0877,-0.038067142857142855,2.0741428571428573,1.0,0,0,0,0.0
39,2020-03-22,-0.0657,-0.08784285714285714,1.2257142857142858,1.0,0,0,0,0.0
40,2020-03-22,-0.0529,-0.03936142857142857,0.8947142857142857,1.0,0,0,0,0.0
41,2020-03-22,-0.0879,-0.0969,1.7017142857142857,0.0,0,0,0,0.0
42,2020-03-22,-0.0708,-0.08772265714285714,1.6215714285714284,0.0,0,0,0,0.0
44,2020-03-22,-0.121,-0.11481428571428572,3.182857142857143,0.0,0,0,0,0.0
45,2020-03-22,-0.0498,-0.04765285714285715,1.704857142857143,1.0,0,0,0,0.0
46,2020-03-22,-0.00267,-0.15355714285714286,0.6920000000000001,1.0,0,0,0,0.0
47,2020-03-22,-0.0424,-0.02435714285714286,2.547,1.0,0,0,0,0.0
48,2020-03-22,-0.0526,-0.06738571428571428,0.9084285714285715,1.0,0,0,0,0.0
49,2020-03-22,-0.0602,-0.03584285714285714,2.6385714285714283,1.0,0,0,0,0.0
50,2020-03-22,-0.0947,-0.07358571428571428,4.0285714285714285,0.0,0,0,0,0.0
51,2020-03-22,-0.0453,-0.06622857142857143,1.0364285714285715,0.0,0,0,0,0.0
53,2020-03-22,-0.0695,-0.1459857142857143,10.967142857142857,0.0,0,0,0,0.0
54,2020-03-22,-0.0967,-0.02517714285714286,0.8646,1.0,0,0,0,0.0
55,2020-03-22,-0.0512,-0.08284285714285713,2.8475714285714284,0.0,0,0,0,0.0
56,2020-03-22,-0.0979,-0.02961428571428571,3.108571428571428,1.0,0,0,0,0.0
1,2020-03-29,-0.0935,-0.24385714285714283,8.622857142857143,1.0,0,1,0,0.0
2,2020-03-29,-0.183,-0.2715714285714286,8.208571428571428,1.0,1,1,0,1.0
4,2020-03-29,-0.0958,-0.24314285714285713,6.671428571428572,0.0,0,0,0,0.0
5,2020-03-29,-0.0862,-0.2782857142857143,8.567142857142857,1.0,0,0,0,0.0
6,2020-03-29,-0.138,-0.33285714285714285,7.582857142857143,0.0,1,1,0,0.0
8,2020-03-29,-0.104,-0.296,19.81714285714286,0.0,1,1,0,0.0
9,2020-03-29,-0.153,-0.3048571428571428,26.514285714285716,0.0,1,1,0,0.0
10,2020-03-29,-0.11,-0.27285714285714285,12.385714285714286,0.0,1,1,0,0.0
12,2020-03-29,-0.109,-0.2412857142857143,10.565714285714284,1.0,0,0,0,0.0
13,2020-03-29,-0.13,-0.2527142857142857,13.257142857142856,0.0,0,0,0,0.0
15,2020-03-29,-0.222,-0.20785714285714288,6.122857142857143,0.0,1,1,0,0.0
16,2020-03-29,-0.102,-0.19614285714285715,8.551428571428572,1.0,1,1,0,1.0
17,2020-03-29,-0.109,-0.3218571428571429,17.002857142857145,0.0,1,1,0,0.0
18,2020-03-29,-0.117,-0.32071428571428573,10.547142857142857,1.0,1,1,0,1.0
19,2020-03-29,-0.14,-0.3425714285714286,4.93,1.0,0,1,0,0.0
20,2020-03-29,-0.0934,-0.24985714285714283,5.158571428571428,1.0,0,0,0,0.0
21,2020-03-29,-0.112,-0.22342857142857145,4.738571428571428,1.0,1,1,0,1.0
22,2020-03-29,-0.152,-0.2752857142857143,40.31428571428571,1.0,1,1,0,1.0
23,2020-03-29,-0.163,-0.15965714285714286,8.44,0.0,0,1,0,0.0
24,2020-03-29,-0.112,-0.284,9.127142857142857,0.0,0,1,0,0.0
25,2020-03-29,-0.188,-0.31428571428571433,33.287142857142854,0.0,1,1,0,0.0
26,2020-03-29,-0.169,-0.25657142857142856,27.414285714285715,0.0,1,1,0,0.0
27,2020-03-29,-0.131,-0.29842857142857143,4.494285714285715,0.0,1,0,0,0.0
28,2020-03-29,-0.0772,-0.2307142857142857,13.879999999999999,1.0,0,0,0,0.0
29,2020-03-29,-0.0968,-0.29057142857142854,7.825714285714286,1.0,0,0,0,0.0
30,2020-03-29,-0.158,-0.2727142857142857,7.359999999999999,1.0,1,1,0,1.0
31,2020-03-29,-0.0753,-0.2794285714285714,2.5985714285714288,1.0,0,0,0,0.0
32,2020-03-29,-0.18,-0.3345714285714286,13.911428571428571,0.0,0,1,0,0.0
33,2020-03-29,-0.179,-0.19528571428571428,8.815714285714286,0.0,1,1,0,0.0
34,2020-03-29,-0.164,-0.291,72.94285714285714,0.0,1,1,0,0.0
35,2020-03-29,-0.113,-0.27585714285714286,5.437142857142858,0.0,1,1,0,0.0
36,2020-03-29,-0.201,-0.2991428571428571,172.71428571428572,0.0,1,1,0,0.0
37,2020-03-29,-0.11,-0.2372857142857143,5.418571428571428,1.0,0,0,0,0.0
38,2020-03-29,-0.165,-0.2405714285714286,5.868571428571428,1.0,0,0,0,0.0
39,2020-03-29,-0.142,-0.27485714285714286,6.964285714285714,1.0,1,1,0,1.0
40,2020-03-29,-0.0994,-0.21700000000000003,5.26,1.0,0,0,0,0.0
41,2020-03-29,-0.156,-0.292,5.897142857142858,0.0,1,0,0,0.0
42,2020-03-29,-0.16,-0.31042857142857144,12.424285714285714,0.0,0,1,0,0.0
44,2020-03-29,-0.243,-0.3631428571428571,12.785714285714286,0.0,1,0,0,0.0
45,2020-03-29,-0.12,-0.22485714285714287,7.735714285714287,1.0,0,0,0,0.0
46,2020-03-29,-0.0715,-0.3325714285714286,4.2942857142857145,1.0,0,0,0,0.0
47,2020-03-29,-0.103,-0.20357142857142857,12.034285714285716,1.0,0,0,0,0.0
48,2020-03-29,-0.109,-0.24842857142857142,4.51,1.0,0,0,0,0.0
49,2020-03-29,-0.0983,-0.2392857142857143,10.895714285714286,1.0,0,0,0,0.0
50,2020-03-29,-0.209,-0.15462857142857142,20.24285714285714,0.0,1,1,0,0.0
51,2020-03-29,-0.0982,-0.25514285714285717,5.012857142857143,0.0,0,1,0,0.0
53,2020-03-29,-0.139,-0.3084285714285714,27.185714285714287,0.0,1,1,0,0.0
54,2020-03-29,-0.159,-0.19242857142857142,3.7665714285714285,1.0,1,1,0,1.0
55,2020-03-29,-0.105,-0.29742857142857143,10.095714285714285,0.0,1,1,0,0.0
56,2020-03-29,-0.135,-0.225,7.027142857142857,1.0,0,0,0,0.0
1,2020-04-05,-0.16,-0.27285714285714285,16.82857142857143,1.0,1,1,0,1.0
2,2020-04-05,-0.259,-0.3252857142857143,10.6,1.0,1,1,0,1.0
4,2020-04-05,-0.146,-0.2722857142857143,15.114285714285714,0.0,1,0,0,0.0
5,2020-04-05,-0.142,-0.311,11.271428571428572,1.0,0,0,0,0.0
6,2020-04-05,-0.198,-0.3587142857142857,17.95714285714286,0.0,1,1,0,0.0
8,2020-04-05,-0.163,-0.35057142857142853,40.028571428571425,0.0,1,1,0,0.0
9,2020-04-05,-0.214,-0.37014285714285716,85.0,0.0,1,1,0,0.0
10,2020-04-05,-0.173,-0.33728571428571424,29.3,0.0,1,1,0,0.0
12,2020-04-05,-0.165,-0.3017142857142857,29.285714285714285,1.0,1,0,0,1.0
13,2020-04-05,-0.187,-0.28285714285714286,32.542857142857144,0.0,1,0,0,0.0
15,2020-04-05,-0.307,-0.2764285714285714,12.004285714285714,0.0,1,1,0,0.0
16,2020-04-05,-0.14,-0.2792857142857143,35.55714285714286,1.0,1,1,0,1.0
17,2020-04-05,-0.16,-0.3282857142857143,42.68571428571429,0.0,1,1,0,0.0
18,2020-04-05,-0.177,-0.38014285714285717,33.82857142857143,1.0,1,1,0,1.0
19,2020-04-05,-0.221,-0.34242857142857147,13.657142857142857,1.0,0,1,0,0.0
20,2020-04-05,-0.143,-0.30542857142857144,12.942857142857141,1.0,1,0,0,1.0
21,2020-04-05,-0.177,-0.25457142857142856,10.708571428571428,1.0,1,1,0,1.0
22,2020-04-05,-0.217,-0.2938571428571429,136.3857142857143,1.0,1,1,0,1.0
23,2020-04-05,-0.239,-0.1787142857142857,15.942857142857141,0.0,1,1,0,0.0
24,2020-04-05,-0.164,-0.337,28.685714285714287,0.0,1,1,0,0.0
25,2020-04-05,-0.261,-0.362,93.42857142857143,0.0,1,1,0,0.0
26,2020-04-05,-0.275,-0.32771428571428574,78.28571428571429,0.0,1,1,0,0.0
27,2020-04-05,-0.195,-0.3747142857142857,6.957142857142856,0.0,1,0,0,0.0
28,2020-04-05,-0.123,-0.23900000000000002,24.214285714285715,1.0,1,1,0,1.0
29,2020-04-05,-0.148,-0.2992857142857143,20.585714285714285,1.0,0,0,0,0.0
30,2020-04-05,-0.204,-0.3457142857142857,13.314285714285715,1.0,1,1,0,1.0
31,2020-04-05,-0.101,-0.29071428571428576,9.105714285714285,1.0,0,0,0,0.0
32,2020-04-05,-0.253,-0.371,29.142857142857142,0.0,1,1,0,0.0
33,2020-04-05,-0.26,-0.2538571428571429,23.542857142857144,0.0,1,1,0,0.0
34,2020-04-05,-0.241,-0.3151428571428571,214.85714285714286,0.0,1,1,0,0.0
35,2020-04-05,-0.178,-0.3425714285714286,13.327142857142857,0.0,1,1,0,0.0
36,2020-04-05,-0.283,-0.3324285714285714,285.2857142857143,0.0,1,1,0,0.0
37,2020-04-05,-0.182,-0.2914285714285714,11.62142857142857,1.0,1,1,0,1.0
38,2020-04-05,-0.208,-0.25742857142857145,12.700000000000001,1.0,0,0,0,0.0
39,2020-04-05,-0.215,-0.3028571428571429,16.942857142857143,1.0,1,1,0,1.0
40,2020-04-05,-0.141,-0.24557142857142855,15.585714285714285,1.0,0,1,0,0.0
41,2020-04-05,-0.215,-0.3605714285714286,11.522857142857143,0.0,1,0,0,0.0
42,2020-04-05,-0.236,-0.31585714285714284,43.857142857142854,0.0,0,1,0,0.0
44,2020-04-05,-0.317,-0.4054285714285714,44.44285714285714,0.0,1,0,0,0.0
45,2020-04-05,-0.19,-0.23842857142857143,19.485714285714288,1.0,0,0,0,0.0
46,2020-04-05,-0.108,-0.358,12.598571428571429,1.0,0,0,0,0.0
47,2020-04-05,-0.157,-0.21,25.242857142857144,1.0,1,1,0,1.0
48,2020-04-05,-0.168,-0.30257142857142855,11.897142857142857,1.0,1,0,0,1.0
49,2020-04-05,-0.143,-0.2794285714285714,22.114285714285717,1.0,0,0,0,0.0
