date,STATEFIP,COUNTYFIP,emp_incq1,Policy_DiD,covid_severity
2020-01-01,48,48245,0.023116666666666664,0,0.0
2020-01-01,48,48251,-0.01104,0,0.0
2020-01-01,48,48253,0.0622,0,0.0
2020-01-01,48,48265,0.0076999999999999985,0,0.0
2020-01-01,48,48303,0.021166666666666667,0,0.0
2020-01-01,48,48309,-0.012316666666666665,0,0.0
2020-01-01,48,48329,-0.019966666666666667,0,0.0
2020-01-01,48,48339,-0.001593333333333333,0,0.0
2020-01-01,48,48355,0.0046763333333333336,0,0.0
2020-01-01,48,48367,-0.015533333333333335,0,0.0
2020-01-01,48,48397,-0.007673333333333333,0,0.0
2020-01-01,48,48423,0.021599999999999998,0,0.0
2020-01-01,48,48439,-0.0009166666666666669,0,0.0
2020-01-01,48,48441,0.0017000000000000025,0,0.0
2020-01-01,48,48451,0.010800000000000002,0,0.0
2020-01-01,48,48453,0.00475,0,0.0
2020-01-01,48,48469,0.0020333333333333314,0,0.0
2020-01-01,48,48471,0.00627,0,0.0
2020-01-01,48,48479,-0.013033333333333334,0,0.0
2020-01-01,48,48491,-0.0038499999999999997,0,0.0
2020-01-01,54,54011,0.0055000000000000005,0,0.0
2020-01-01,54,54039,0.0069433333333333335,0,0.0
2020-01-01,54,54061,-0.039766666666666665,0,0.0
2020-01-01,54,54069,0.01605,0,0.0
2020-01-01,54,54099,0.014033333333333333,0,0.0
2020-01-01,54,54107,-0.00019000000000000006,0,0.0
2020-02-01,6,6001,-0.03545,0,14.0
2020-02-01,6,6013,-0.024050000000000002,0,14.0
2020-02-01,6,6017,-0.0736,0,14.0
2020-02-01,6,6019,-0.0397,0,14.0
2020-02-01,6,6029,-0.03184,0,14.0
2020-02-01,6,6037,-0.044875,0,14.0
2020-02-01,6,6039,-0.069775,0,14.0
2020-02-01,6,6041,0.00153175,0,14.0
2020-02-01,6,6053,-0.0067525,0,14.0
2020-02-01,6,6055,-0.0434075,0,14.0
2020-02-01,6,6059,-0.0441,0,14.0
2020-02-01,6,6061,0.0388,0,14.0
2020-02-01,6,6065,-0.0105075,0,14.0
2020-02-01,6,6067,0.00066,0,14.0
2020-02-01,6,6071,-0.0252,0,14.0
2020-02-01,6,6073,-0.044275,0,14.0
2020-02-01,6,6075,-0.014055,0,14.0
2020-02-01,6,6077,-0.063325,0,14.0
2020-02-01,6,6079,-0.0027247499999999997,0,14.0
2020-02-01,6,6081,-0.06495,0,14.0
2020-02-01,6,6083,-0.02725,0,14.0
2020-02-01,6,6085,-0.013597499999999998,0,14.0
2020-02-01,6,6087,0.039675,0,14.0
2020-02-01,6,6095,-0.0584,0,14.0
2020-02-01,6,6097,-0.011975,0,14.0
2020-02-01,6,6099,-0.0178275,0,14.0
2020-02-01,6,6107,-0.22625,0,14.0
2020-02-01,6,6111,-0.015349999999999999,0,14.0
2020-02-01,6,6113,-0.17225000000000001,0,14.0
2020-02-01,15,15003,-0.197,0,0.0
2020-02-01,17,17019,-0.039325,0,0.0
2020-02-01,17,17031,-0.0066525,0,0.0
2020-02-01,17,17043,-0.026674999999999997,0,0.0
2020-02-01,17,17049,-0.33175,0,0.0
2020-02-01,17,17057,0.13525,0,0.0
2020-02-01,17,17089,-0.02145,0,0.0
2020-02-01,17,17097,-0.035525,0,0.0
2020-02-01,17,17111,0.013857499999999998,0,0.0
2020-02-01,17,17119,0.01065,0,0.0
2020-02-01,17,17163,-0.01099625,0,0.0
2020-02-01,17,17167,0.06605,0,0.0
2020-02-01,17,17197,-0.01599,0,0.0
2020-02-01,18,18001,-0.00601225,0,0.0
2020-02-01,18,18003,-0.01169125,0,0.0
2020-02-01,18,18005,0.04085,0,0.0
2020-02-01,18,18011,-0.044375,0,0.0
2020-02-01,18,18035,0.0130125,0,0.0
2020-02-01,18,18039,-0.0170275,0,0.0
2020-02-01,18,18043,0.0062825,0,0.0
2020-02-01,18,18057,-0.003764,0,0.0
2020-02-01,18,18067,0.060774999999999996,0,0.0
2020-02-01,18,18071,-0.14479999999999998,0,0.0
2020-02-01,18,18089,-0.015844999999999998,0,0.0
2020-02-01,18,18091,0.002085,0,0.0
2020-02-01,18,18095,0.0098185,0,0.0
2020-02-01,18,18097,-0.009465,0,0.0
2020-02-01,18,18105,0.0037347500000000002,0,0.0
2020-02-01,18,18109,-0.099925,0,0.0
2020-02-01,18,18127,-0.010165,0,0.0
2020-02-01,18,18141,-0.04965,0,0.0
2020-02-01,18,18163,0.104175,0,0.0
2020-02-01,18,18169,-0.08702499999999999,0,0.0
2020-02-01,18,18179,-0.485725,0,0.0
2020-02-01,20,20091,-0.0157,0,0.1724137931034483
2020-02-01,20,20131,-0.061375,0,0.1724137931034483
2020-02-01,20,20177,-0.0004289499999999999,0,0.1724137931034483
2020-02-01,20,20209,0.0069775,0,0.1724137931034483
2020-02-01,27,27003,-0.024999999999999998,0,0.0
2020-02-01,27,27019,-0.0697,0,0.0
2020-02-01,27,27037,-0.0149425,0,0.0
2020-02-01,27,27041,0.030824999999999998,0,0.0
2020-02-01,27,27053,-0.00983,0,0.0
2020-02-01,27,27123,-0.009995,0,0.0
2020-02-01,27,27139,-0.2265,0,0.0
2020-02-01,27,27163,-0.0490455,0,0.0
2020-02-01,27,27171,0.04685,0,0.0
2020-02-01,28,28003,-0.0186,0,0.0
2020-02-01,28,28033,0.0648475,0,0.0
2020-02-01,28,28049,-0.0105725,0,0.0
2020-02-01,28,28073,0.003934999999999999,0,0.0
2020-02-01,28,28109,0.072575,0,0.0
2020-02-01,28,28121,-0.07405,0,0.0
2020-02-01,29,29019,0.04795,0,0.0
2020-02-01,29,29021,0.0378725,0,0.0
2020-02-01,29,29037,0.008275000000000001,0,0.0
2020-02-01,29,29047,-0.03125,0,0.0
2020-02-01,29,29051,0.0218325,0,0.0
2020-02-01,29,29077,0.010795,0,0.0
2020-02-01,29,29095,-0.0117425,0,0.0
2020-02-01,29,29099,-0.015625,0,0.0
2020-02-01,29,29165,0.037375,0,0.0
2020-02-01,29,29183,-0.047875,0,0.0
2020-02-01,29,29189,-0.000796375,0,0.0
2020-02-01,29,29510,-0.073875,0,0.0
2020-02-01,30,30031,0.015564999999999999,0,0.0
2020-02-01,32,32003,-0.01308875,0,0.0
2020-02-01,32,32019,-0.008885,0,0.0
2020-02-01,32,32031,0.064675,0,0.0
2020-02-01,37,37001,-0.0109075,0,0.0
