YEAR,SERIAL,MONTH,HWTFINL,CPSID,ASECFLAG,STATEFIP,COUNTY,PERNUM,WTFINL,CPSIDP,CPSIDV,AGE,SEX,RACE,HISPAN,EMPSTAT,OCC,IND,DURUNEMP,EDUC,LNKFW1MWT,LowWage,TreatState,status_next_month,found_job,Post,monthly_cases,log_monthly_cases
2018,580,2,1819.4627,20161200062100,,1,0,3,2299.5998,20161200062103,201612000621031,27,1,100,0,21,4760,5790,3,111,2320.9109,1,1,34.0,0,0,,0.0
2018,1550,2,481.0504,20161200161500,,2,0,1,483.5195,20161200161501,201612001615011,39,1,100,0,21,6320,9170,8,81,512.869,0,1,21.0,0,0,,0.0
2018,1589,2,490.6297,20161200165900,,2,0,2,551.403,20161200165902,201612001659021,20,1,100,0,21,9620,5170,2,73,594.004,1,1,21.0,0,0,,0.0
2018,1887,2,466.2222,20161200194800,,2,0,3,478.9664,20161200194803,201612001948031,30,1,100,0,21,6230,770,3,73,511.5154,0,1,34.0,0,0,,0.0
2018,2525,2,3566.0194,20161200259400,,4,4013,2,2831.7464,20161200259402,201612002594021,66,1,100,0,21,1050,7380,21,111,2959.6255,0,1,36.0,0,0,,0.0
2018,3476,2,4076.471,20161200357100,,4,0,1,5182.8648,20161200357101,201612003571011,37,1,300,0,21,8140,570,5,73,5732.1785,0,1,10.0,1,0,,0.0
2018,3580,2,3206.8541,20161200366200,,4,4025,1,3338.1978,20161200366201,201612003662011,56,1,100,0,21,740,770,1,81,3539.4181,0,1,10.0,1,0,,0.0
2018,3587,2,3520.3307,20161200366900,,4,0,4,3972.3744,20161200366904,201612003669041,24,1,100,100,21,3420,5070,17,73,4529.8885,1,1,21.0,0,0,,0.0
2018,4027,2,1083.1113,20161200411400,,5,0,2,1070.9903,20161200411402,201612004114021,37,1,100,0,21,9240,6080,5,123,1108.7609,0,1,10.0,1,0,,0.0
2018,4050,2,1083.1113,20161200413600,,5,0,2,1231.7236,20161200413602,201612004136021,26,1,100,0,21,6440,770,2,73,1275.4244,0,1,10.0,1,0,,0.0
2018,4924,2,924.41,20161200500900,,5,0,2,1422.5695,20161200500902,201612005009021,60,1,100,0,21,6260,770,61,81,1485.0317,0,1,21.0,0,0,,0.0
2018,5115,2,3546.8372,20161200521200,,6,6037,2,3387.5483,20161200521204,201612005212041,61,2,100,611,21,4030,8680,48,40,3579.2034,1,0,21.0,0,0,,0.0
2018,5541,2,4032.2875,20161200564800,,6,0,1,3610.7385,20161200564801,201612005648011,49,1,651,0,21,1840,7290,13,123,3955.6836,0,0,10.0,1,0,,0.0
